pair_idx,pair_id,mapping,source_domain,target_domain,structure_type,source_question,source_answer,target_question,target_answer,logical_equivalence,domain_independence,difficulty_parity,self_containment,verdict,failure_modes,notes
12,cb815314-10cb-41b6-90be-515f075c8f44,physics_to_earth_science,physics,earth_science,formula_recall_and_substitute,Calculate the maximum height change in the ocean tides caused by the Moon.,0.54,Calculate the depth to the brittle-ductile transition in continental crust where the temperature is 350°C. The geothermal gradient is 25°C/km and the surface temperature is 15°C.,13.4 km,,,,,,,
13,3205df52-d574-44b2-a3e9-c09f4caeb211,physics_to_biology,physics,biology,unknown,"The Gravitron is a carnival ride that looks like a large cylinder. People stand inside the cylinder against the wall as it begins to spin. Eventually, it is rotating fast enough that the floor can be removed without anyone falling. Given then the coefficient of friction between a person’s clothing and the wall is μ, the tangential speed is v, and the radius of the ride is R, what is greatest mass that a person can be to safely go on this ride?
A) μv^2/(rg)
B) r^2v^2/(μg)
C) rg/(μv^2)
D) None of the above.",D) None of the above.,"In enzyme kinetics, the Michaelis-Menten equation describes reaction velocity. Given that the maximum velocity is V_max = 100 μmol/(min·mg enzyme), the Michaelis constant is K_m = 5 mM, and the substrate concentration is [S] = 20 mM, what is the minimum molecular weight (in Daltons) of the enzyme required for the reaction to proceed?
A) 45,000 Da
B) 67,500 Da
C) 150,000 Da
D) None of the above.",D) None of the above.,,,,,,,
14,6c41294d-be84-4de5-8da2-671d563cc07a,physics_to_chemistry,physics,chemistry,formula_recall_and_substitute,Let $Y_1 < Y_2 < Y_3 < Y_4 < Y_5 < Y_6$ be the order statistics of a random sample of size $n=6$ from a distribution of the continuous type having $(100 p)$ th percentile $\pi_p$. Compute $P\left(Y_2 < \pi_{0.5} < Y_5\right)$.,0.7812,Let X₁ < X₂ < X₃ < X₄ < X₅ < X₆ be the order statistics of a random sample of size n=6 from a distribution of the continuous type representing the mole fraction of component A in a binary mixture at equilibrium. The median mole fraction is χ₀.₅. Compute P(X₂ < χ₀.₅ < X₅).,0.7812,,,,,,,
15,8b42e5a6-0a8c-493b-863a-7bff28ee1cd5,biology_to_earth_science,biology,earth_science,unknown,"In reference to a segment of DNA, which of the following molecules contains the fewest number of nucleotides?
A) a single strand of the original DNA segment
B) a single strand of the original DNA segment after a point mutation
C) the primary RNA transcript (before splicing) from the original DNA
D) a single strand of complementary DNA (cDNA) made from the original DNA",D) a single strand of complementary DNA (cDNA) made from the original DNA,"In reference to a complete mineral crystal structure, which of the following descriptions contains the fewest number of atomic positions?
A) all atomic positions in the complete unit cell of the original crystal
B) all atomic positions in the complete unit cell after a substitution defect
C) the extended crystal lattice (before identifying symmetry) showing multiple unit cells
D) the asymmetric unit showing only symmetry-independent atomic positions",D) the asymmetric unit showing only symmetry-independent atomic positions,,,,,,,
16,0c974e4a-de4c-48b5-b195-db97d3626db6,biology_to_earth_science,biology,earth_science,unknown,"Which of the following substances is found in greater quantity in exhaled air?
A) Carbon dioxide
B) Carbon monoxide
C) Nitrogen
D) Oxygen",C) Nitrogen,"Which of the following minerals is found in the greatest quantity in oceanic crust?
A) Olivine
B) Plagioclase feldspar
C) Pyroxene
D) Quartz",B) Plagioclase feldspar,,,,,,,
17,c2389daf-c446-4737-8b68-35b062ead753,physics_to_chemistry,physics,chemistry,unknown,"Which one of the following statements is true concerning the motion of an ideal projectile launched at an angle of 45° to the horizontal?
A) The acceleration vector points opposite to the velocity vector on the way up and in the same direction as the velocity vector on the way down.
B) The speed at the top of the trajectory is zero.
C) The object's total speed remains constant during the entire flight.
D) The vertical speed decreases on the way up and increases on the way down.",D) The vertical speed decreases on the way up and increases on the way down.,"Which one of the following statements is true concerning the oxidation state of manganese in a redox reaction where MnO₄⁻ is reduced to MnO₂ in basic solution?
A) The oxidation state of manganese remains constant while oxygen's oxidation state changes.
B) The oxidation state of manganese reaches zero at the end of the reduction.
C) The change in oxidation state occurs at a constant rate throughout the electron transfer.
D) The oxidation state of manganese decreases during the reduction and the number of electrons gained by each manganese atom increases during the reduction.",D) The oxidation state of manganese decreases during the reduction and the number of electrons gained by each manganese atom increases during the reduction.,,,,,,,
18,6fe33cfd-d6ae-4c81-8742-f9dc18674e76,chemistry_to_biology,chemistry,biology,formula_recall_and_substitute,"Assume all gases are perfect unless stated otherwise. Unless otherwise stated, thermodynamic data are for 298.15 K. A chemical reaction takes place in a container of cross-sectional area $100 \mathrm{~cm}^2$. As a result of the reaction, a piston is pushed out through $10 \mathrm{~cm}$ against an external pressure of $1.0 \mathrm{~atm}$. Calculate the work done by the system.",-100,A cylindrical root cell has a cross-sectional area of 100 μm² and elongates by 10 μm during growth against a turgor pressure of 1.0 MPa. Calculate the work done by the cell during this expansion.,-100 pJ,,,,,,,
19,c93486bb-0bb7-48c6-ad3c-00ae4af76bcf,biology_to_earth_science,biology,earth_science,unknown,"When water evaporates from the surface of a pond, what happens to the remaining liquid water?
A) The surface water cools.
B) The surface water warms.
C) The surface water temperature remains unchanged.
D) The pH of the remaining water decreases.",A) The surface water cools.,"When air descends from high altitude in the atmosphere and undergoes adiabatic compression, what happens to the temperature of the air mass?
A) The air mass cools.
B) The air mass warms.
C) The air mass temperature remains unchanged.
D) The air mass pressure decreases.",B) The air mass warms.,,,,,,,
20,0bbf1f18-69e3-4c57-8542-0bfce7bbb7e2,chemistry_to_biology,chemistry,biology,unknown,"Substances whose Lewis structures must be drawn with an unpaired electron are called
A) ionic compounds
B) free radicals
C) resonance structures
D) polar molecules",B) free radicals,"Organisms that produce their own organic compounds from inorganic substances using light or chemical energy are called
A) heterotrophs
B) autotrophs
C) decomposers
D) parasites",B) autotrophs,,,,,,,
21,a765bd0a-0bc7-4d59-84f3-138b286f5a54,chemistry_to_earth_science,chemistry,earth_science,formula_recall_and_substitute,"The sedimentation coefficient of lysozyme $\left(\mathrm{M}=14,100 \mathrm{~g} \mathrm{~mol}^{-1}\right)$ in water at $20^{\circ} \mathrm{C}$ is $1.91 \times 10^{-13} \mathrm{~s}$ and the specific volume is $0.703 \mathrm{~cm}^3 \mathrm{~g}^{-1}$. The density of water at this temperature is $0.998 \mathrm{~g} \mathrm{~cm}^{-3}$ and $\eta=1.002 \mathrm{cP}$. Assuming lysozyme is spherical, what is the radius of this protein?",1.94,"A spherical mineral grain with density 2650 kg/m³ settles through seawater at 15°C with a measured settling velocity of 0.85 cm/s. The density of seawater at this temperature is 1025 kg/m³ and the dynamic viscosity is 1.14 × 10⁻³ Pa·s. Assuming laminar flow conditions (Stokes regime), what is the diameter of the grain?",0.245 mm,,,,,,,
22,714f848a-7233-4f92-8e17-e4c94ae27b16,physics_to_biology,physics,biology,unknown,"The Gravitron is a carnival ride that looks like a large cylinder. People stand inside the cylinder against the wall as it begins to spin. Eventually, it is rotating fast enough that the floor can be removed without anyone falling. Given then the coefficient of friction between a person’s clothing and the wall is μ, the tangential speed is v, and the radius of the ride is R, what is greatest mass that a person can be to safely go on this ride?
A) μv^2/(rg)
B) r^2v^2/(μg)
C) rg/(μv^2)
D) None of the above.",D) None of the above.,"In a neuron, the equilibrium potential for an ion depends on the concentration gradient across the membrane. Given that the Nernst equation is E = (RT/zF)ln([ion]_out/[ion]_in), where R is the gas constant, T is temperature, z is the ion's valence, F is Faraday's constant, and the concentrations are [K+]_out = 5 mM and [K+]_in = 140 mM at body temperature (310 K), what is the maximum number of potassium ions that can pass through a single channel per second to maintain equilibrium?
A) 2.3 × 10^6 ions/s
B) 1.4 × 10^8 ions/s
C) 5.0 × 10^5 ions/s
D) None of the above.",D) None of the above.,,,,,,,
23,57bf0366-e996-47e4-b44b-12e089545ab9,physics_to_earth_science,physics,earth_science,unknown,"Two identical capacitors are hooked in parallel to an external circuit. Which of the following quantities must be the same for both capacitors? I. the charge stored on the capacitor II.  the voltage across the capacitor III. the capacitance of the capacitor
A) I only
B) II only
C) II and III only
D) (E) I, II, and III","D) (E) I, II, and III","Two identical soil columns are subjected in parallel to the same infiltration conditions (same water input rate and same hydraulic gradient). Which of the following quantities must be the same for both soil columns? I. the total volume of water infiltrated II. the hydraulic conductivity III. the soil texture
A) I only
B) II only
C) II and III only
D) I, II, and III","D) I, II, and III",,,,,,,
24,8296e4ae-930c-4dae-8abe-42185b4c8bb1,chemistry_to_biology,chemistry,biology,unknown,"The equation ΔH = ΔU + PΔV is applicable
A) always
B) only for constant pressure processes
C) only for constant temperature processes
D) only for constant volume processes",B) only for constant pressure processes,"The equation ΔG = ΔH - TΔS is applicable
A) always
B) only for constant temperature and pressure processes
C) only for constant volume processes
D) only for isothermal processes",B) only for constant temperature and pressure processes,,,,,,,
25,30548af9-b4c1-4f01-92a1-1f12ac341355,biology_to_earth_science,biology,earth_science,unknown,"Which describes brightly colored peacocks mating more frequently than drab peacocks?
A) artificial selection
B) directional selection
C) stabilizing selection
D) sexual selection",D) sexual selection,"Which describes the process where fine clay particles remain suspended in a river during low flow conditions while coarse sand particles settle out?
A) hydraulic sorting
B) chemical precipitation
C) turbidity current
D) differential settling by grain size",D) differential settling by grain size,,,,,,,
